7107,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,口湖,經元長,褒忠站、元長、四湖、口湖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Feisha JHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,虎尾科技大學,新吉,三合,大屯,西屯,後埔,馬光,馬光國小,頂寮,褒忠站,元長鄉溪底,山仔內,蔥仔寮,元長,合和,五府王爺廟,五塊厝,溪底,西勢,砂崙腳,新庄,四湖,農場,下寮,內湖,林頭園,鱉潭,埔南,口湖國中,口湖,下崙,大榕腳,三條崙,林厝國小,飛沙國中,
Huwei,NFU,Xinji,Sanhe,Datun,Xitun,Houpu,Maguang,Maguang ES.,Dingliao,Baozhong Station,Yuanchang Township Xidi,Shanzinei,Congziliao,Yuanchang,Hehe,Wufu Wangye Temple,Wukuaicuo,Xidi,Xishi,Shalunjiao,Xinzhuang,Sihu,Farm,Xialiao,Neihu,Lintouyuan,Bietan,Punan,Kouhu JHS.,Kouhu,Xialun,Darongjiao,Santiaolun Station,Lincuo ES.,Feisha JHS.,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
466011200153673 ,四湖站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7221,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,臺西,經三條崙,四湖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Taixi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0550,0720,0800,0900,1100,1200,1300,1400,1500,1600,1715,1840,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,建國國中,劉厝,口庄,好收派出所,好收,西井,宏仁國小,牛挑灣,鹿場,湖寮,四湖國中,文生國中,四湖,四湖1,四湖衛生所,下湖,東羊稠,建華國小,羊稠厝,西羊稠,溪尾,下飛沙1,下飛沙,飛沙國中,五塊厝,大榕下,三條崙,三條崙1,溪仔崙,林厝寮派出所,林厝寮,昭安府,溪頂,泉州,尚德國小,台西
Beigang,Jianguo JHS.,Liucuo,Kouzhuang,Haoshou Police Substation,Haoshou,Xijing,Hongren ES.,Niutiaowan,Luchang,Huliao,Sihu JHS.,Wensheng JHS.,Sihu,Sihu(I),Sihu Health Center,Xiahu,Dongyangchou,Jianhua ES.,Yangchoucuo,Xiyangchou,Xiwei,Xiafeisha(I),Xiafeisha,Feisha JHS.,Wukuaicuo,Darongxia,Santiaolun,Santiaolun (I),Xizilun,Lincuoliao Police Substation,Lincuoliao,Zhao-An Temple,Xiding,Quanzhou,Shangde ES.,Taixi
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153673 ,四湖站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
