7103,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗南,麥寮,,虎尾、高鐵雲林站、崙背、麥寮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dounan,Liuqing Industry Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0735,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0735,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗南,電信局,東明國中,大東,大東社區,竹圍,興南,雲林監獄,中華特區,虎尾,勝源,埒內社區,興隆毛巾工廠,台大虎尾分院,高鐵雲林站,吳厝,湳仔,賜福宮,田尾1,田尾,崙東,二崙,打牛湳,水汴頭,崙背,松本超市,鹽園,五塊厝,大有,華濟醫院,興化厝,霄仁厝,鎮東宮,麥寮衛生所,麥寮,麥寮高中,後安,雲林長庚醫院,六輕工業區
Dounan,Chunghwa Telecom,Dong ming High School,Dadong,Dadong Community,Zhuwei,Xingnan,Yunlin Prison,Zhonghua District,Huwei,Shengyuan,Lenei Community,SL Towel Industrial  Factory,NTU Hospital Huwei Branch,Yunlin HSR Station,Wucuo,Nanzi,Sifu Temple,Tianwei(I),Tianwei,Lundong,Erlun,Daniunan,Shuibiantou,Lunbei,Songben Supermarket,Yanyuan,Wukuaicuo,Dayou,Huaji Hospital,Xinghuacuo,Xiaorencuo,Zhendong temple,Mailiao Public Health Office,Mailiao,Mailiao HS.,Hou-An,Yunlin Changgung Memorial Hospital,Liuqing Industry Park
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153958 ,埒內社區站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7116,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,西螺,經廣興,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFU,Xiluo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾科技大學,虎尾,勝源,埒內社區,埒內,汕尾,虎尾國中,半路店,持法媽祖宮,公館,三塊厝,廣興,藍厝,振文書院,西螺農工,西螺站,,,,,,,,,,,,,,,,,,,,,,,
NFU,Huwei,Shengyuan,Lenei Community,Lenei,Shanwei,Huwei JHS.,Banludian,Chifamazu Temple,Gongguan,Sankuaicuo,Guangxing,Lancuo,Zhenwen College,Siluo AIVS.,Xiluo Station,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
466011200153958 ,埒內社區站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
