7111,M,,,,週六班次為支線A[繞駛臺西國中],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮,虎尾,經台西,馬光、褒忠、月眉、東勢、台西、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mailiao Public Health Office,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,0850,0945,1250,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,1250,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮衛生所,麥寮,新興,三姓寮,蚊港1,蚊港,草寮,南公館,崙豐,五港,福安宮,台西,光華村,五榔,西潭,路利潭,東潭,三塊厝,東勢監理分站,東勢,復興,月眉,媽埔,三仁醫院,褒忠,頂寮,馬光國小,馬光,後埔,西屯,大屯,東屯,北溪厝,雲林二監,廉使,虎尾,,,,,,
Mailiao Public Health Office,Mailiao,Xinxing,Sanxingliao,Wengang 1,Wengang,Caoliao,Nangongguan,Lunfeng,Wugang,Fu-an Temple,Taixi,Guanghua Village,Wulang,Westtan,Lulitan,Easttan,Sankuaicuo,Dongshi Motor Vehicle Substation,Dongshi,Fuxing,Yuemei,Mabu,Sanren Hospital,Baozhong,Dingliao,Maguang Elementary School,Maguang,Houpu,Xitun,Datun,Dongtun,Beixicuo,Yunlin Second Prison,Lianshi,Huwei,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,,,,,,
100012,馬光站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taixi Junior High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9015,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,臺中車站,,土庫、馬光、褒忠、元長、新街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,TRA Taichung Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,0640,0720,0800,0840,0920,1000,1040,1120,1200,1240,1320,1400,1440,1520,1600,1640,1720,1800,1830,1900,1940,2020,,,,,,,,,,,,,,,,,,,
0600,0640,0720,0800,0830,0840,0900,0930,0930,1000,1020,1030,1100,1130,1200,1230,1240,1300,1330,1330,1340,1400,1415,1430,1445,1500,1515,1530,1545,1600,1615,1630,1700,1730,1800,1830,1900,1930,2000,2030,2100,2130
北港,元長(上客站),褒忠(上客站),馬光(上客站),土庫(上客站),工專站(上客站),虎尾站(上客站),大業(上客站),朝馬(下客站),臺中市政府(下客站),頂何厝(臺灣大道)(下客站),科學博物館(臺灣大道)(下客站),民權路口(下客站),臺中教育大學(下客站),臺中州廳(下客站),臺中車站,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Yuanzhang,Baozhong,Maguang,Tuku,Gongzhuan Station,Huwei Station,Daye,Chaoma Station,Taichung City Hall,Dinghecuo(Taiwan Boulevard),NMNS(Taiwan Boulevar),Minquan Rd. Intersection,NTCU,Taichung Prefectural Hall,TRA Taichung Station,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
100012,馬光站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
