7111,F,,,,週六班次為支線A[繞駛臺西國中],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,麥寮,經台西,馬光、褒忠、月眉、東勢、台西、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Mailiao Public Health Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0630,0740,0830,1135,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830,1135,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,廉使,雲林二監,北溪厝,東屯,大屯,西屯,後埔,馬光,馬光國小,頂寮,褒忠,三仁醫院,媽埔,月眉,復興,東勢,東勢監理分站,三塊厝,東潭,路利潭,西潭,五榔,光華村,台西,福安宮,五港,崙豐,南公館,草寮,蚊港,蚊港1,三姓寮,新興,麥寮,麥寮衛生所,,,,,,,
Huwei,Lianshi,Yunlin Second Prison,Beixicuo,Dongtun,Datun,Xitun,Houpu,Maguang,Maguang Elementary School,Dingliao,Baozhong,Sanren Hospital,Mabu,Yuemei,Fuxing,Dongshi,Dongshi Motor Vehicle Substation,Sankuaicuo,Easttan,Lulitan,Westtan,Wulang,Guanghua Village,Taixi,Fu-an Temple,Wugang,Lunfeng,Nangongguan,Caoliao,Wengang,Wengang 1,Sanxingliao,Xinxing,Mailiao,Mailiao Public Health Office,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
100011,馬光站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taixi Junior High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9015,F版本2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中車站,北港,,土庫、馬光、褒忠、元長、新街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRA Taichung Station,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0605,0645,0725,0805,0845,0925,1005,1045,1125,1205,1245,1325,1405,1445,1525,1605,1645,1725,1805,1835,1905,1945,2025,2105,,,,,,,,,,,,,,,,,,,
0605,0635,0705,0735,0805,0835,0905,0925,1005,1035,1045,1105,1135,1145,1205,1225,1235,1305,1325,1335,1405,1425,1435,1445,1505,1535,1605,1635,1650,1705,1720,1735,1750,1805,1820,1835,1850,1905,1935,2005,2035,2105,2140
臺中車站,朝馬(上客站),大業(下客站),虎尾站(下客站),工專站(下客站),土庫(下客站),馬光(下客站),褒忠(下客站),元長(下客站),新街(下客站),北港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRA Taichung Station,Chaoma Station,Daye,Huwei Station,Gongzhuan Station,Tuku,Maguang,Baozhong,Yuanzhang,Xinjie,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100011,馬光站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
